wavelength (nm),LED-B1
380,0.002748895
381,0.003137529
382,0.003581106
383,0.004087396
384,0.004665264
385,0.005324829
386,0.006077641
387,0.006936885
388,0.007917605
389,0.009036976
390,0.010314601
391,0.011772851
392,0.013437262
393,0.015336981
394,0.017505273
395,0.019980107
396,0.022804819
397,0.02602887
398,0.029708716
399,0.03390879
400,0.038702634
401,0.044174185
402,0.050419246
403,0.057547158
404,0.065682719
405,0.074968361
406,0.085566649
407,0.097663119
408,0.111469524
409,0.127227538
410,0.14521298
411,0.16381384
412,0.188217096
413,0.216060338
414,0.247670992
415,0.282963786
416,0.322077111
417,0.365627214
418,0.413923005
419,0.467146939
420,0.525864517
421,0.59023511
422,0.66120261
423,0.739339464
424,0.825306635
425,0.91968226
426,1.022794462
427,1.135311135
428,1.258079
429,1.392228208
430,1.538681532
431,1.700218095
432,1.87653174
433,2.069708892
434,2.2828399
435,2.519605524
436,2.783629445
437,3.078043697
438,3.405172208
439,3.765977148
440,4.159351673
441,4.581655379
442,5.026548376
443,5.48484545
444,5.944377989
445,6.390312767
446,6.806358864
447,7.176673621
448,7.487590913
449,7.728417464
450,7.891599953
451,7.973230557
452,7.974026041
453,7.899679848
454,7.759786587
455,7.566117132
456,7.331579847
457,7.069892949
458,6.794839681
459,6.518703244
460,6.250842435
461,5.997328716
462,5.761389124
463,5.543865998
464,5.343526222
465,5.157677782
466,4.983274271
467,4.817969787
468,4.660482619
469,4.510391825
470,4.368078377
471,4.234958917
472,4.113304402
473,4.005334391
474,3.912429876
475,3.835307401
476,3.774715265
477,3.731514151
478,3.705875126
479,3.696569426
480,3.701303471
481,3.717827427
482,3.744719979
483,3.781285802
484,3.827001552
485,3.881165277
486,3.942942034
487,4.011640038
488,4.086961598
489,4.168977796
490,4.257788814
491,4.35317796
492,4.454567782
493,4.561208543
494,4.672353902
495,4.787373225
496,4.905839494
497,5.027480813
498,5.151927566
499,5.278498704
500,5.406324451
501,5.534722341
502,5.663436228
503,5.792496394
504,5.92186827
505,6.051291326
506,6.180484497
507,6.309422409
508,6.438294655
509,6.56721659
510,6.696100036
511,6.824818996
512,6.953376485
513,7.081847485
514,7.210261812
515,7.338650356
516,7.467153802
517,7.595945666
518,7.725013783
519,7.854146336
520,7.983256522
521,8.112645087
522,8.242758875
523,8.373699422
524,8.505198584
525,8.637170667
526,8.770063174
527,8.904444532
528,9.040350786
529,9.17726665
530,9.314749493
531,9.452916088
532,9.592288861
533,9.733250011
534,9.875678579
535,10.01913206
536,10.16341494
537,10.30892197
538,10.45632219
539,10.60591335
540,10.75736353
541,10.91004983
542,11.06356764
543,11.21802699
544,11.3741204
545,11.53295136
546,11.69550146
547,11.86195735
548,12.03152832
549,12.20306799
550,12.37598745
551,12.5506239
552,12.72779211
553,12.90801196
554,13.09108428
555,13.27628585
556,13.46297794
557,13.65111517
558,13.84110221
559,14.03300094
560,14.22599571
561,14.41898315
562,14.6117447
563,14.80524276
564,15.00069006
565,15.19858544
566,15.39858456
567,15.59976118
568,15.8008417
569,16.00078532
570,16.19956368
571,16.39805607
572,16.59687555
573,16.79558092
574,16.99325871
575,17.18946862
576,17.38420247
577,17.57719633
578,17.76782752
579,17.95568886
580,18.14084707
581,18.32342402
582,18.50316631
583,18.67944486
584,18.85146477
585,19.01858161
586,19.18069355
587,19.33814056
588,19.49083209
589,19.63766907
590,19.77736842
591,19.90985774
592,20.03632922
593,20.15770215
594,20.27334835
595,20.38151682
596,20.48079043
597,20.57105242
598,20.65329815
599,20.7285786
600,20.79688834
601,20.85698305
602,20.9069539
603,20.94647666
604,20.97613324
605,20.99695035
606,21.00992221
607,21.01499792
608,21.01088212
609,20.99634155
610,20.97124777
611,20.93644833
612,20.89273921
613,20.84028414
614,20.77868309
615,20.70733581
616,20.62652584
617,20.53704406
618,20.43981188
619,20.33597694
620,20.22525849
621,20.10713144
622,19.98084444
623,19.84783435
624,19.70885008
625,19.56409074
626,19.41471982
627,19.25958829
628,19.09849616
629,18.93130016
630,18.75853658
631,18.58033412
632,18.3977421
633,18.2105292
634,18.01887972
635,17.82247338
636,17.62220987
637,17.418129
638,17.210072
639,16.9989377
640,16.78369816
641,16.56603516
642,16.34489307
643,16.12154368
644,15.89470948
645,15.66353682
646,15.43080462
647,15.19644139
648,14.96139126
649,14.72546861
650,14.4884949
651,14.25179986
652,14.01525785
653,13.77883702
654,13.54229017
655,13.30647994
656,13.07225708
657,12.83930038
658,12.60717212
659,12.37604868
660,12.14623566
661,11.9184145
662,11.69143535
663,11.46636306
664,11.2426583
665,11.01991871
666,10.80072002
667,10.58362864
668,10.36943884
669,10.15727219
670,9.94761198
671,9.740039826
672,9.534411208
673,9.33188896
674,9.131659237
675,8.93423648
676,8.739265474
677,8.546685959
678,8.356501829
679,8.169153957
680,7.984501697
681,7.80218363
682,7.622389359
683,7.445650582
684,7.271012694
685,7.098599266
686,6.930012275
687,6.765547133
688,6.605756045
689,6.449230493
690,6.296369017
691,6.146020778
692,5.998252782
693,5.853262647
694,5.710045626
695,5.568803057
696,5.42932211
697,5.291960039
698,5.156340355
699,5.02278496
700,4.890717017
701,4.760824872
702,4.632758139
703,4.507394443
704,4.384082734
705,4.264296003
706,4.148794552
707,4.037305771
708,3.929630912
709,3.824841662
710,3.722622666
711,3.622867836
712,3.525340606
713,3.430523727
714,3.337923704
715,3.247886386
716,3.159816986
717,3.074455628
718,2.991203486
719,2.910317872
720,2.832043675
721,2.755793408
722,2.681302768
723,2.60901417
724,2.538578012
725,2.469874619
726,2.402953886
727,2.337877954
728,2.27416435
729,2.212398467
730,2.152266108
731,2.093679859
732,2.036566431
733,1.981043671
734,1.926695863
735,1.874064167
736,1.822699231
737,1.77299975
738,1.724644245
739,1.677732732
740,1.632208447
741,1.587857771
742,1.545047554
743,1.50371291
744,1.463826153
745,1.424875736
746,1.38728755
747,1.35094096
748,1.315708155
749,1.281822033
750,1.248852077
751,1.21682796
752,1.185622319
753,1.155327381
754,1.126077527
755,1.097976198
756,1.070387501
757,1.043620902
758,1.017483164
759,0.992019025
760,0.967494149
761,0.943673183
762,0.920440191
763,0.898100342
764,0.876501825
765,0.855308226
766,0.83480151
767,0.814770496
768,0.795338393
769,0.776552659
770,0.758379783
771,0.740877817
772,0.723983623
773,0.707690323
774,0.691991041
775,0.676878899
776,0.66234702
777,0.648388526
778,0.63499654
779,0.622164185
780,0.609884584
