wavelength (nm),LED-BH1
380,0.003120462
381,0.003669725
382,0.004315669
383,0.005075311
384,0.005968665
385,0.007019265
386,0.008254791
387,0.009707791
388,0.011416546
389,0.01342607
390,0.015789305
391,0.018568506
392,0.02183689
393,0.025680557
394,0.030200762
395,0.035516577
396,0.041768035
397,0.048904971
398,0.056781618
399,0.065994619
400,0.076890556
401,0.089904846
402,0.10548195
403,0.124081808
404,0.146304757
405,0.173002067
406,0.205231704
407,0.244105145
408,0.288305884
409,0.344390383
410,0.410669921
411,0.488430569
412,0.578767605
413,0.682493109
414,0.800742292
415,0.934325372
416,1.084080382
417,1.250198156
418,1.432583452
419,1.630606185
420,1.843379864
421,2.06903309
422,2.305076082
423,2.549084088
424,2.799397054
425,3.054491555
426,3.31185167
427,3.567814377
428,3.818939857
429,4.061644386
430,4.292892771
431,4.564936817
432,4.841113948
433,5.12126951
434,5.405201985
435,5.691800095
436,5.978583856
437,6.262268627
438,6.53950699
439,6.806721281
440,7.059238599
441,7.291093268
442,7.496235913
443,7.670004747
444,7.809096553
445,7.910170254
446,7.969177532
447,7.98255332
448,7.948816919
449,7.868798327
450,7.744849357
451,7.580436963
452,7.380198746
453,7.149548638
454,6.893792251
455,6.617717726
456,6.326175846
457,6.02493553
458,5.720628439
459,5.419485911
460,5.125958326
461,4.842576148
462,4.571062803
463,4.313319137
464,4.071225438
465,3.845736111
466,3.636452674
467,3.442093347
468,3.261310742
469,3.093216392
470,2.937449131
471,2.793963246
472,2.662701162
473,2.543213081
474,2.434440362
475,2.335073309
476,2.244447002
477,2.163124788
478,2.092432591
479,2.033387159
480,1.986149616
481,1.950421922
482,1.926118461
483,1.913529676
484,1.912974266
485,1.924556452
486,1.948447107
487,1.985363785
488,2.036547252
489,2.103164616
490,2.185947453
491,2.285529229
492,2.402761584
493,2.53835538
494,2.692539784
495,2.865531527
496,3.058094629
497,3.271163929
498,3.505082469
499,3.759595019
500,4.034269806
501,4.328115682
502,4.638547099
503,4.961516698
504,5.293779314
505,5.6353293
506,5.988806841
507,6.35556197
508,6.73220716
509,7.111436886
510,7.4862227
511,7.853089117
512,8.212009747
513,8.564272971
514,8.910658682
515,9.250760599
516,9.583275162
517,9.906967646
518,10.22153009
519,10.52724903
520,10.8236571
521,11.10887205
522,11.38067783
523,11.63821788
524,11.88242893
525,12.11484578
526,12.33603986
527,12.54496742
528,12.73942393
529,12.9171027
530,13.07680618
531,13.21934523
532,13.34736467
533,13.46376139
534,13.56981632
535,13.66497333
536,13.74877786
537,13.82286817
538,13.890303
539,13.95264566
540,14.00866598
541,14.05675489
542,14.09771376
543,14.1338249
544,14.16583421
545,14.19270581
546,14.21443328
547,14.23323522
548,14.25108692
549,14.2672788
550,14.27943918
551,14.28626011
552,14.28833831
553,14.28680295
554,14.28198375
555,14.2735096
556,14.2613836
557,14.24657728
558,14.23002341
559,14.2110753
560,14.18798854
561,14.16033652
562,14.12987772
563,14.09841275
564,14.06582273
565,14.03096667
566,13.99352834
567,13.95399991
568,13.91246255
569,13.86842667
570,13.82188049
571,13.77392805
572,13.72617303
573,13.67947067
574,13.63314263
575,13.58548319
576,13.53556414
577,13.48481055
578,13.4362811
579,13.39202319
580,13.35164311
581,13.31379386
582,13.27841282
583,13.24702647
584,13.22131416
585,13.20172822
586,13.18731064
587,13.17693418
588,13.1711268
589,13.1726458
590,13.18500367
