wavelength (nm),LED-RGB1
380,0.001021246
381,0.001193786
382,0.001395476
383,0.001631242
384,0.00190684
385,0.002229
386,0.00260559
387,0.003045804
388,0.003560392
389,0.00416192
390,0.004865075
391,0.005687028
392,0.006647848
393,0.007770998
394,0.009083902
395,0.010618618
396,0.012412621
397,0.014509716
398,0.016961108
399,0.019826653
400,0.023176318
401,0.027091891
402,0.031668974
403,0.03701932
404,0.043273559
405,0.050584386
406,0.059130286
407,0.069119892
408,0.080797072
409,0.094446878
410,0.110402499
411,0.127782977
412,0.150921077
413,0.177566549
414,0.206985394
415,0.241003332
416,0.280149827
417,0.324605922
418,0.374825502
419,0.430692527
420,0.496569943
421,0.569584068
422,0.64760655
423,0.736954548
424,0.833001847
425,0.940314153
426,1.05581223
427,1.176591587
428,1.311473551
429,1.459993596
430,1.604599812
431,1.758681107
432,1.918503527
433,2.080901432
434,2.258713467
435,2.429036351
436,2.606325867
437,2.799993704
438,2.992800657
439,3.182800175
440,3.384970458
441,3.583756464
442,3.7964528
443,4.051446579
444,4.317958164
445,4.588719526
446,4.878890521
447,5.16865621
448,5.441169789
449,5.666973311
450,5.841671193
451,5.960460482
452,6.003085672
453,5.943631094
454,5.794924078
455,5.560185976
456,5.269438187
457,4.964727616
458,4.65475238
459,4.31797669
460,4.004834418
461,3.771038533
462,3.558156134
463,3.372257036
464,3.247587996
465,3.143488606
466,3.047593505
467,2.979527115
468,2.920506564
469,2.857702545
470,2.801283228
471,2.753270741
472,2.717782623
473,2.687466221
474,2.673485485
475,2.679177621
476,2.699310606
477,2.739396167
478,2.815202118
479,2.913088716
480,3.028074301
481,3.172872197
482,3.340273497
483,3.530458984
484,3.742256662
485,3.982508442
486,4.231451011
487,4.511340832
488,4.821122223
489,5.153736096
490,5.525075285
491,5.937090466
492,6.362175372
493,6.821466901
494,7.314059719
495,7.836553669
496,8.412380387
497,8.997861466
498,9.643288232
499,10.30853626
500,10.95855182
501,11.64756925
502,12.39357674
503,13.1134579
504,13.87132699
505,14.61239426
506,15.32825509
507,16.04980654
508,16.72547452
509,17.36594035
510,18.00870696
511,18.60224465
512,19.09178967
513,19.53052296
514,19.92676245
515,20.24452456
516,20.4258069
517,20.60094254
518,20.68703705
519,20.651782
520,20.56530234
521,20.4316575
522,20.19747117
523,19.90511623
524,19.59218826
525,19.2203645
526,18.7764386
527,18.33025949
528,17.90085467
529,17.42733379
530,16.93358367
531,16.45984428
532,15.95812225
533,15.49687653
534,15.03884189
535,14.58230608
536,14.15740469
537,13.77001259
538,13.37229426
539,12.97932787
540,12.60732758
541,12.26385076
542,11.94889997
543,11.67565607
544,11.3766009
545,11.08828569
546,10.83223844
547,10.58762451
548,10.36059793
549,10.13333914
550,9.928469691
551,9.732003209
552,9.561482061
553,9.393358807
554,9.239118354
555,9.113541789
556,8.986904015
557,8.873284234
558,8.762639568
559,8.660565901
560,8.600215777
561,8.536061874
562,8.459925727
563,8.405683798
564,8.361841932
565,8.312254115
566,8.277143726
567,8.246437816
568,8.230460543
569,8.222335506
570,8.207549528
571,8.206882087
572,8.219188815
573,8.239544222
574,8.258112077
575,8.241554092
576,8.276943809
577,8.30074299
578,8.341152391
579,8.379368468
580,8.420003387
581,8.476617127
582,8.525815277
583,8.598653756
584,8.671168411
585,8.743932112
586,8.823355688
587,8.915780142
588,9.025105297
589,9.130087949
590,9.245520477
591,9.368403913
592,9.509953177
593,9.658575122
594,9.822235266
595,9.997136949
596,10.17653795
597,10.37984237
598,10.60189206
599,10.82771808
600,11.10159856
601,11.39070036
602,11.67368428
603,12.00216198
604,12.37045022
605,12.74097456
606,13.18336423
607,13.6680644
608,14.17863959
609,14.73578371
610,15.34708259
611,15.99936419
612,16.75809052
613,17.5885027
614,18.43012917
615,19.42756143
616,20.52877351
617,21.70815128
618,22.98445502
619,24.41677299
620,26.00799959
621,27.730626
622,29.65177179
623,31.73326214
624,33.99289759
625,36.46874517
626,39.12424082
627,41.9072983
628,44.89269803
629,48.00032546
630,51.09935458
631,54.12587615
632,56.9979038
633,59.49437302
634,61.5135456
635,62.69028812
636,62.83768016
637,61.87765667
638,59.68214532
639,56.37092709
640,52.0726506
641,47.30364146
642,42.19781083
643,37.22033063
644,32.68097503
645,28.62187087
646,25.0311326
647,22.01125056
648,19.45574916
649,17.29468753
650,15.49935059
651,13.95851439
652,12.62647946
653,11.46798795
654,10.46745152
655,9.576803854
656,8.808332362
657,8.129257635
658,7.538085009
659,7.006474487
660,6.535715354
661,6.139005999
662,5.80021389
663,5.485304835
664,5.194642445
665,4.949608904
666,4.733423174
667,4.535022995
668,4.342299408
669,4.173063044
670,4.013983285
671,3.868307467
672,3.732032833
673,3.603065296
674,3.484458063
675,3.372921525
676,3.268022241
677,3.159756054
678,3.058480516
679,2.976710554
680,2.892093817
681,2.807125521
682,2.727243208
683,2.646331097
684,2.575359497
685,2.506320023
686,2.437286148
687,2.376804708
688,2.305052782
689,2.239207112
690,2.181544436
691,2.120720177
692,2.06357394
693,2.010845175
694,1.964112477
695,1.915135136
696,1.859756453
697,1.811052451
698,1.75728252
699,1.708737578
700,1.665777791
701,1.613170144
702,1.564816864
703,1.533041357
704,1.486549826
705,1.441651942
706,1.402535909
707,1.365198147
708,1.322123232
709,1.285304366
710,1.251936349
711,1.215388518
712,1.176965332
713,1.141068527
714,1.112693864
715,1.085270367
716,1.054111748
717,1.024945046
718,0.998433365
719,0.969040067
720,0.934298909
721,0.920697307
722,0.88743851
723,0.859107289
724,0.840492602
725,0.818492866
726,0.792982349
727,0.762860907
728,0.745117033
729,0.734280382
730,0.707480806
731,0.681920141
732,0.668271239
733,0.64546164
734,0.628517528
735,0.606511817
736,0.58217827
737,0.568349626
738,0.560040829
739,0.541145993
740,0.530093332
741,0.519509088
742,0.501408976
743,0.486792231
744,0.473063135
745,0.451179852
746,0.447893523
747,0.431737772
748,0.420432332
749,0.402740596
750,0.397406493
751,0.387124679
752,0.374438275
