wavelength (nm),LED-V1
380,0.007252573
381,0.00974307
382,0.013088791
383,0.017583417
384,0.023621475
385,0.031732971
386,0.042629915
387,0.057268815
388,0.076934641
389,0.103353613
390,0.141944153
391,0.190812102
392,0.254684738
393,0.339698522
394,0.453047186
395,0.605439813
396,0.812111588
397,1.097815269
398,1.48213182
399,1.984847991
400,2.623719493
401,3.417718944
402,4.395315802
403,5.55023481
404,6.897512573
405,8.427665196
406,10.07833322
407,11.77711033
408,13.4465624
409,15.0599493
410,16.51244891
411,17.64063365
412,18.36384026
413,18.66619757
414,18.50293253
415,17.89578012
416,16.90410346
417,15.63612367
418,14.20351719
419,12.70001318
420,11.25549308
421,9.930708735
422,8.741583277
423,7.690541307
424,6.757688237
425,5.944495516
426,5.256223761
427,4.668085265
428,4.151538294
429,3.699430576
430,3.311128144
431,2.987141978
432,2.724012342
433,2.514941283
434,2.362372434
435,2.249742101
436,2.162518801
437,2.103809417
438,2.071010727
439,2.060892862
440,2.068814533
441,2.086105899
442,2.120791119
443,2.170992449
444,2.228404614
445,2.292568611
446,2.362372434
447,2.437927356
448,2.518302192
449,2.59934467
450,2.680088467
451,2.766714402
452,2.855783968
453,2.951733478
454,3.049781085
455,3.148262074
456,3.247438524
457,3.344488327
458,3.435579124
459,3.535736541
460,3.636896887
461,3.747740982
462,3.857248328
463,3.96001702
464,4.071743253
465,4.182638594
466,4.308200116
467,4.433875109
468,4.564422723
469,4.692438126
470,4.827965976
471,4.972613154
472,5.118595618
473,5.276055391
474,5.4187421
475,5.569108899
476,5.720352712
477,5.889858607
478,6.069547521
479,6.229819154
480,6.397512458
481,6.568251882
482,6.745975203
483,6.93151917
484,7.098830336
485,7.267154679
486,7.437044177
487,7.607654758
488,7.775990082
489,7.928535505
490,8.082725146
491,8.226499703
492,8.366034142
493,8.499493178
494,8.62079262
495,8.734502749
496,8.841144062
497,8.94095814
498,9.037337372
499,9.123914991
500,9.205712228
501,9.280026301
502,9.351393081
503,9.417856494
504,9.47877232
505,9.535603226
506,9.582725492
507,9.631014669
508,9.674965631
509,9.714143531
510,9.750368283
511,9.782227002
512,9.814789967
513,9.841082799
514,9.87262307
515,9.906353678
516,9.935580625
517,9.967531584
518,9.992681663
519,10.0264701
520,10.06149573
521,10.09450013
522,10.13030981
523,10.17063924
524,10.21376517
525,10.25856167
526,10.30600531
527,10.35609536
528,10.40629816
529,10.45677035
530,10.51025133
531,10.56518838
532,10.62738166
533,10.6875808
534,10.75183264
535,10.82014598
536,10.89312111
537,10.96281439
538,11.03074925
539,11.10084444
540,11.17423391
541,11.24111533
542,11.3191827
543,11.39865417
544,11.47877278
545,11.55287016
