# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.909999999999999892e-02 0.000000000000000000e+00
3.819999999999999785e-02 0.000000000000000000e+00
5.729999999999999677e-02 0.000000000000000000e+00
7.639999999999999569e-02 0.000000000000000000e+00
9.550000000000000155e-02 0.000000000000000000e+00
1.145999999999999935e-01 0.000000000000000000e+00
1.337000000000000133e-01 0.000000000000000000e+00
1.527999999999999914e-01 0.000000000000000000e+00
1.718999999999999972e-01 0.000000000000000000e+00
1.910999999999999921e-01 0.000000000000000000e+00
2.101999999999999980e-01 0.000000000000000000e+00
2.293000000000000038e-01 0.000000000000000000e+00
2.484000000000000097e-01 0.000000000000000000e+00
2.675000000000000155e-01 0.000000000000000000e+00
2.866000000000000214e-01 0.000000000000000000e+00
3.057000000000000273e-01 0.000000000000000000e+00
3.247999999999999776e-01 0.000000000000000000e+00
3.438999999999999835e-01 0.000000000000000000e+00
3.629999999999999893e-01 0.000000000000000000e+00
3.820999999999999952e-01 0.000000000000000000e+00
4.012000000000000011e-01 0.000000000000000000e+00
4.203000000000000069e-01 0.000000000000000000e+00
4.394000000000000128e-01 0.000000000000000000e+00
4.585000000000000187e-01 0.000000000000000000e+00
4.776000000000000245e-01 0.000000000000000000e+00
4.966999999999999749e-01 0.000000000000000000e+00
5.158000000000000362e-01 0.000000000000000000e+00
5.350000000000000311e-01 0.000000000000000000e+00
5.541000000000000369e-01 0.000000000000000000e+00
5.732000000000000428e-01 0.000000000000000000e+00
5.923000000000000487e-01 0.000000000000000000e+00
6.114000000000000545e-01 3.678373942319095757e+00
6.304999999999999494e-01 3.690783978849417224e+01
6.495999999999999552e-01 1.061621704302159515e+02
6.686999999999999611e-01 2.136399409222229622e+02
6.877999999999999670e-01 3.620714267591633870e+02
7.068999999999999728e-01 5.534942951338624653e+02
7.259999999999999787e-01 7.906025935217261349e+02
7.450999999999999845e-01 1.076056761076177963e+03
7.641999999999999904e-01 1.413820667863964673e+03
7.832999999999999963e-01 1.821222254052961262e+03
8.024000000000000021e-01 2.307480289751057171e+03
8.215000000000000080e-01 2.876349675908432346e+03
8.406000000000000139e-01 3.531378885632508627e+03
8.597000000000000197e-01 4.277055033282121258e+03
8.788000000000000256e-01 5.116633508811140928e+03
8.980000000000000204e-01 6.054393409311331197e+03
9.171000000000000263e-01 7.092668959241863377e+03
9.362000000000000322e-01 8.235839143378665540e+03
9.553000000000000380e-01 9.487079707271743246e+03
9.744000000000000439e-01 1.085062717387853809e+04
9.935000000000000497e-01 1.233134557208835577e+04
1.012599999999999945e+00 1.393119707432542600e+04
1.031700000000000061e+00 1.565471472211623950e+04
1.050799999999999956e+00 1.750710078637364859e+04
1.069900000000000073e+00 1.949224163528093413e+04
1.088999999999999968e+00 2.161469579272996634e+04
1.108100000000000085e+00 2.387877542798198920e+04
1.127199999999999980e+00 2.629059595682581494e+04
1.146300000000000097e+00 2.885517674581975734e+04
1.165399999999999991e+00 3.157843373554832942e+04
1.184500000000000108e+00 3.446637559155090275e+04
1.203600000000000003e+00 3.752690869759256020e+04
1.222699999999999898e+00 4.076810298601137038e+04
1.241800000000000015e+00 4.420003065099479863e+04
1.260999999999999899e+00 4.788775749304587953e+04
1.280100000000000016e+00 5.196677223931128538e+04
1.299199999999999910e+00 5.653054726741294871e+04
1.318300000000000027e+00 6.158477377888176125e+04
1.337399999999999922e+00 6.665625969771422388e+04
1.356500000000000039e+00 7.173579711153368407e+04
1.375599999999999934e+00 7.683288171350293851e+04
1.394700000000000051e+00 8.201167542013636557e+04
1.413799999999999946e+00 8.556783335627258930e+04
1.432900000000000063e+00 8.870361224375518213e+04
1.451999999999999957e+00 9.195482755338049901e+04
1.471100000000000074e+00 9.541674148322698602e+04
1.490199999999999969e+00 9.915936550935776904e+04
1.509300000000000086e+00 1.030884574853073573e+05
1.528399999999999981e+00 1.070448796335905645e+05
1.547500000000000098e+00 1.106669691113543377e+05
1.566599999999999993e+00 1.143288032541032881e+05
1.585700000000000109e+00 1.182270123469600949e+05
1.604899999999999993e+00 1.223707180678663281e+05
1.624000000000000110e+00 1.268920041030807624e+05
1.643100000000000005e+00 1.343540706276197452e+05
1.662199999999999900e+00 1.414773914424730465e+05
