#k-distance eigenvalue[eV]
0.00000000 -28.93000000
0.01647355 -28.93470000
0.03294710 -28.93470000
0.04942064 -28.93460000
0.06589419 -28.93460000
0.08236774 -28.93450000
0.09884129 -28.93440000
0.11531484 -28.93430000
0.13178839 -28.93420000
0.14826193 -28.93400000
0.16473548 -28.93390000
0.18120903 -28.93370000
0.19768258 -28.93350000
0.21415613 -28.93340000
0.23062967 -28.93320000
0.24710322 -28.93300000
0.26357677 -28.93280000
0.28005032 -28.93260000
0.29652387 -28.93240000
0.31299741 -28.93220000
0.32947096 -28.93200000
0.34594451 -28.93190000
0.36241806 -28.93170000
0.37889161 -28.93150000
0.39536516 -28.93140000
0.41183870 -28.93130000
0.42831225 -28.93110000
0.44478580 -28.93100000
0.46125935 -28.93100000
0.47773290 -28.93090000
0.49420644 -28.93080000
0.51067999 -28.93080000
0.52715354 -28.93080000
0.54343995 -28.93080000
0.55972636 -28.93080000
0.57601278 -28.93070000
0.59229919 -28.93070000
0.60858559 -28.93060000
0.62487200 -28.93050000
0.64115842 -28.93040000
0.65744483 -28.93030000
0.67373124 -28.93010000
0.69001765 -28.93000000
0.70630407 -28.92980000
0.72259047 -28.92970000
0.73887688 -28.92950000
0.75516329 -28.92930000
0.77144971 -28.92910000
0.78773612 -28.92890000
0.80402253 -28.92880000
0.82030893 -28.92860000
0.83659534 -28.92840000
0.85288176 -28.92820000
0.86916817 -28.92800000
0.88545458 -28.92780000
0.90174099 -28.92770000
0.91802741 -28.92750000
0.93431382 -28.92740000
0.95060022 -28.92720000
0.96688663 -28.92710000
0.98317305 -28.92700000
0.99945946 -28.92690000
1.01574587 -28.92680000
1.03203228 -28.92680000
1.04831870 -28.92670000
1.06460510 -28.92670000
1.08089151 -28.92970000
1.09717792 -28.92670000
1.11346433 -28.92680000
1.12975075 -28.92690000
1.14603716 -28.92700000
1.16232357 -28.92710000
1.17860997 -28.92730000
1.19489639 -28.92750000
1.21118280 -28.92780000
1.22746921 -28.92800000
1.24375562 -28.92830000
1.26004204 -28.92860000
1.27632845 -28.92890000
1.29261485 -28.92930000
1.30890126 -28.92960000
1.32518768 -28.93000000
1.34147409 -28.93030000
1.35776050 -28.92980000
1.37404691 -28.93110000
1.39033332 -28.93150000
1.40661973 -28.93180000
1.42290614 -28.93220000
1.43919255 -28.93250000
1.45547896 -28.93280000
1.47176538 -28.93310000
1.48805179 -28.93340000
1.50433820 -28.93370000
1.52062460 -28.93390000
1.53691102 -28.93410000
1.55319743 -28.93430000
1.56948384 -28.93440000
1.58577025 -28.93460000
1.60205667 -28.93460000
1.61834308 -28.93470000
1.63462948 -28.93000000
1.65084218 -28.93470000
1.66705486 -28.93460000
1.68326756 -28.93460000
1.69948025 -28.93440000
1.71569294 -28.93430000
1.73190563 -28.93410000
1.74811833 -28.93390000
1.76433101 -28.93360000
1.78054371 -28.93330000
1.79675640 -28.93300000
1.81296909 -28.93270000
1.82918178 -28.93240000
1.84539448 -28.93200000
1.86160716 -28.93170000
1.87781986 -28.93130000
1.89403255 -28.93090000
1.91024524 -28.93050000
1.92645793 -28.93020000
1.94267063 -28.92980000
1.95888331 -28.92940000
1.97509601 -28.92910000
1.99130870 -28.92870000
2.00752139 -28.92840000
2.02373408 -28.92810000
2.03994678 -28.92780000
2.05615946 -28.92760000
2.07237216 -28.92740000
2.08858485 -28.92720000
2.10479754 -28.92700000
2.12101023 -28.92680000
2.13748378 -28.92680000
2.15395733 -28.92690000
2.17043088 -28.92690000
2.18690443 -28.92700000
2.20337797 -28.92710000
2.21985152 -28.92720000
2.23632507 -28.92730000
2.25279862 -28.92740000
2.26927217 -28.92760000
2.28574571 -28.92770000
2.30221926 -28.92790000
2.31869281 -28.92800000
2.33516636 -28.92820000
2.35163991 -28.92840000
2.36811346 -28.92860000
2.38458700 -28.92880000
2.40106055 -28.92900000
2.41753410 -28.92920000
2.43400765 -28.92930000
2.45048120 -28.92950000
2.46695474 -28.92970000
2.48342829 -28.92980000
2.49990184 -28.93000000
2.51637539 -28.93010000
2.53284894 -28.93030000
2.54932249 -28.93040000
2.56579603 -28.93050000
2.58226958 -28.93050000
2.59874313 -28.93060000
2.61521668 -28.93060000
2.63169023 -28.93070000
2.64816377 -28.93070000
2.66445018 -28.93070000
2.68073659 -28.93060000
2.69702301 -28.93060000
2.71330942 -28.93050000
2.72959583 -28.93050000
2.74588223 -28.93030000
2.76216865 -28.93020000
2.77845506 -28.93010000
2.79474147 -28.93000000
2.81102788 -28.92980000
2.82731430 -28.92960000
2.84360071 -28.92940000
2.85988712 -28.92920000
2.87617352 -28.92900000
2.89245994 -28.92880000
2.90874635 -28.92860000
2.92503276 -28.92840000
2.94131917 -28.92820000
2.95760558 -28.92800000
2.97389200 -28.92780000
2.99017840 -28.92760000
3.00646481 -28.92740000
3.02275122 -28.92720000
3.03903764 -28.92710000
3.05532405 -28.92690000
3.07161046 -28.92680000
3.08789687 -28.92660000
3.10418328 -28.92650000
3.12046969 -28.92640000
3.13675610 -28.92630000
3.15304251 -28.92620000
3.16932893 -28.92620000
3.18561534 -28.92620000
3.20190175 -28.92620000
3.21811444 -28.92630000
3.23432713 -28.92640000
3.25053982 -28.92650000
3.26675252 -28.92660000
3.28296520 -28.92670000
3.29917790 -28.92670000
3.31539059 -28.92680000
3.33160328 -28.92680000
3.34781597 -28.92690000
3.36402867 -28.92690000
3.38024135 -28.92690000
3.39645405 -28.92700000
3.41266674 -28.92700000
3.42887943 -28.92700000
3.44509212 -28.92690000
3.46130482 -28.92690000
3.47751750 -28.92690000
3.49373020 -28.92690000
3.50994289 -28.92690000
3.52615558 -28.92690000
3.54236827 -28.92680000
3.55858096 -28.92680000
3.57479365 -28.92680000
3.59100634 -28.92680000
3.60721904 -28.92680000
3.62343172 -28.92670000
3.63964442 -28.92670000
3.65585711 -28.92670000
3.67206980 -28.92670000
3.68828249 -28.92970000

0.00000000 -28.92490000
0.01647355 -28.92960000
0.03294710 -28.92960000
0.04942064 -28.92950000
0.06589419 -28.92950000
0.08236774 -28.92940000
0.09884129 -28.92930000
0.11531484 -28.92920000
0.13178839 -28.92910000
0.14826193 -28.92890000
0.16473548 -28.92880000
0.18120903 -28.92860000
0.19768258 -28.92850000
0.21415613 -28.92830000
0.23062967 -28.92810000
0.24710322 -28.92790000
0.26357677 -28.92770000
0.28005032 -28.92750000
0.29652387 -28.92730000
0.31299741 -28.92720000
0.32947096 -28.92700000
0.34594451 -28.92680000
0.36241806 -28.92660000
0.37889161 -28.92650000
0.39536516 -28.92630000
0.41183870 -28.92620000
0.42831225 -28.92610000
0.44478580 -28.92600000
0.46125935 -28.92590000
0.47773290 -28.92580000
0.49420644 -28.92580000
0.51067999 -28.92580000
0.52715354 -28.92570000
0.54343995 -28.92570000
0.55972636 -28.92570000
0.57601278 -28.92570000
0.59229919 -28.92560000
0.60858559 -28.92550000
0.62487200 -28.92540000
0.64115842 -28.92530000
0.65744483 -28.92520000
0.67373124 -28.92510000
0.69001765 -28.92490000
0.70630407 -28.92480000
0.72259047 -28.92460000
0.73887688 -28.92440000
0.75516329 -28.92430000
0.77144971 -28.92410000
0.78773612 -28.92390000
0.80402253 -28.92370000
0.82030893 -28.92350000
0.83659534 -28.92330000
0.85288176 -28.92310000
0.86916817 -28.92290000
0.88545458 -28.92280000
0.90174099 -28.92260000
0.91802741 -28.92250000
0.93431382 -28.92230000
0.95060022 -28.92220000
0.96688663 -28.92200000
0.98317305 -28.92190000
0.99945946 -28.92180000
1.01574587 -28.92180000
1.03203228 -28.92170000
1.04831870 -28.92170000
1.06460510 -28.92160000
1.08089151 -28.92470000
1.09717792 -28.92170000
1.11346433 -28.92170000
1.12975075 -28.92180000
1.14603716 -28.92190000
1.16232357 -28.92210000
1.17860997 -28.92220000
1.19489639 -28.92240000
1.21118280 -28.92270000
1.22746921 -28.92290000
1.24375562 -28.92320000
1.26004204 -28.92350000
1.27632845 -28.92380000
1.29261485 -28.92420000
1.30890126 -28.92450000
1.32518768 -28.92490000
1.34147409 -28.92530000
1.35776050 -28.92480000
1.37404691 -28.92600000
1.39033332 -28.92640000
1.40661973 -28.92670000
1.42290614 -28.92710000
1.43919255 -28.92740000
1.45547896 -28.92770000
1.47176538 -28.92800000
1.48805179 -28.92830000
1.50433820 -28.92860000
1.52062460 -28.92880000
1.53691102 -28.92900000
1.55319743 -28.92920000
1.56948384 -28.92940000
1.58577025 -28.92950000
1.60205667 -28.92960000
1.61834308 -28.92960000
1.63462948 -28.92490000
1.65084218 -28.92960000
1.66705486 -28.92960000
1.68326756 -28.92950000
1.69948025 -28.92940000
1.71569294 -28.92930000
1.73190563 -28.92920000
1.74811833 -28.92910000
1.76433101 -28.92900000
1.78054371 -28.92880000
1.79675640 -28.92860000
1.81296909 -28.92850000
1.82918178 -28.92830000
1.84539448 -28.92810000
1.86160716 -28.92790000
1.87781986 -28.92770000
1.89403255 -28.92760000
1.91024524 -28.92740000
1.92645793 -28.92720000
1.94267063 -28.92710000
1.95888331 -28.92690000
1.97509601 -28.92680000
1.99130870 -28.92670000
2.00752139 -28.92660000
2.02373408 -28.92660000
2.03994678 -28.92660000
2.05615946 -28.92660000
2.07237216 -28.92660000
2.08858485 -28.92660000
2.10479754 -28.92670000
2.12101023 -28.92680000
2.13748378 -28.92680000
2.15395733 -28.92690000
2.17043088 -28.92690000
2.18690443 -28.92700000
2.20337797 -28.92710000
2.21985152 -28.92720000
2.23632507 -28.92730000
2.25279862 -28.92740000
2.26927217 -28.92760000
2.28574571 -28.92770000
2.30221926 -28.92790000
2.31869281 -28.92800000
2.33516636 -28.92820000
2.35163991 -28.92840000
2.36811346 -28.92860000
2.38458700 -28.92880000
2.40106055 -28.92900000
2.41753410 -28.92920000
2.43400765 -28.92930000
2.45048120 -28.92950000
2.46695474 -28.92970000
2.48342829 -28.92980000
2.49990184 -28.93000000
2.51637539 -28.93010000
2.53284894 -28.93030000
2.54932249 -28.93040000
2.56579603 -28.93050000
2.58226958 -28.93050000
2.59874313 -28.93060000
2.61521668 -28.93060000
2.63169023 -28.93070000
2.64816377 -28.93070000
2.66445018 -28.93070000
2.68073659 -28.93060000
2.69702301 -28.93060000
2.71330942 -28.93050000
2.72959583 -28.93040000
2.74588223 -28.93030000
2.76216865 -28.93020000
2.77845506 -28.93010000
2.79474147 -28.92990000
2.81102788 -28.92980000
2.82731430 -28.92960000
2.84360071 -28.92940000
2.85988712 -28.92920000
2.87617352 -28.92900000
2.89245994 -28.92880000
2.90874635 -28.92860000
