# energy(eV) alpha
0.000000000000000000e+00 3.110091102631346693e+00
1.909999999999999892e-02 3.110166126324015234e+00
3.819999999999999785e-02 3.110396544922635176e+00
5.729999999999999677e-02 3.110782323896461143e+00
7.639999999999999569e-02 3.111328762227911326e+00
9.550000000000000155e-02 3.112019708592261846e+00
1.145999999999999935e-01 3.112881837354790182e+00
1.337000000000000133e-01 3.113898949334526378e+00
1.527999999999999914e-01 3.115070892719243645e+00
1.718999999999999972e-01 3.116413536957721053e+00
1.910999999999999921e-01 3.117915970644494106e+00
2.101999999999999980e-01 3.119593990676778006e+00
2.293000000000000038e-01 3.121441974472695335e+00
2.484000000000000097e-01 3.123459620356888955e+00
2.675000000000000155e-01 3.125662596421224126e+00
2.866000000000000214e-01 3.128050511101123643e+00
3.057000000000000273e-01 3.130628264954709028e+00
3.247999999999999776e-01 3.133406027525531545e+00
3.438999999999999835e-01 3.136383267395743690e+00
3.629999999999999893e-01 3.139575342834335370e+00
3.820999999999999952e-01 3.142986902083218403e+00
4.012000000000000011e-01 3.146622527939017644e+00
4.203000000000000069e-01 3.150507895562237426e+00
4.394000000000000128e-01 3.154636798956946819e+00
4.585000000000000187e-01 3.159039938546730930e+00
4.776000000000000245e-01 3.163726705432482245e+00
4.966999999999999749e-01 3.168722139916972935e+00
5.158000000000000362e-01 3.174040537443297172e+00
5.350000000000000311e-01 3.179727451632712754e+00
5.541000000000000369e-01 3.185812298300073842e+00
5.732000000000000428e-01 3.192355452222282342e+00
5.923000000000000487e-01 3.199442659797692379e+00
6.114000000000000545e-01 3.207210626679936283e+00
6.304999999999999494e-01 3.215670023659295218e+00
6.495999999999999552e-01 3.224660634434225681e+00
6.686999999999999611e-01 3.234085808158889019e+00
6.877999999999999670e-01 3.243901457131889376e+00
7.068999999999999728e-01 3.254058988905982108e+00
7.259999999999999787e-01 3.264546290931853889e+00
7.450999999999999845e-01 3.275356639667149850e+00
7.641999999999999904e-01 3.286534347547525936e+00
7.832999999999999963e-01 3.298033567554577328e+00
8.024000000000000021e-01 3.309774156013673529e+00
