# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000062e-03 0.000000000000000000e+00
6.000000000000000125e-03 0.000000000000000000e+00
8.999999999999999320e-03 0.000000000000000000e+00
1.200000000000000025e-02 0.000000000000000000e+00
1.499999999999999944e-02 0.000000000000000000e+00
1.799999999999999864e-02 0.000000000000000000e+00
2.100000000000000130e-02 0.000000000000000000e+00
2.400000000000000050e-02 0.000000000000000000e+00
2.699999999999999969e-02 0.000000000000000000e+00
2.999999999999999889e-02 0.000000000000000000e+00
3.300000000000000155e-02 0.000000000000000000e+00
3.599999999999999728e-02 0.000000000000000000e+00
3.899999999999999994e-02 0.000000000000000000e+00
4.200000000000000261e-02 0.000000000000000000e+00
4.499999999999999833e-02 0.000000000000000000e+00
4.789999999999999813e-02 0.000000000000000000e+00
5.090000000000000080e-02 0.000000000000000000e+00
5.390000000000000346e-02 0.000000000000000000e+00
5.689999999999999919e-02 0.000000000000000000e+00
5.990000000000000185e-02 0.000000000000000000e+00
6.289999999999999758e-02 0.000000000000000000e+00
6.590000000000000024e-02 0.000000000000000000e+00
6.890000000000000291e-02 0.000000000000000000e+00
7.190000000000000557e-02 0.000000000000000000e+00
7.489999999999999436e-02 0.000000000000000000e+00
7.789999999999999702e-02 0.000000000000000000e+00
8.089999999999999969e-02 0.000000000000000000e+00
8.390000000000000235e-02 0.000000000000000000e+00
8.690000000000000502e-02 0.000000000000000000e+00
8.989999999999999380e-02 0.000000000000000000e+00
9.289999999999999647e-02 0.000000000000000000e+00
9.589999999999999913e-02 0.000000000000000000e+00
9.890000000000000180e-02 0.000000000000000000e+00
1.019000000000000045e-01 0.000000000000000000e+00
1.048999999999999932e-01 0.000000000000000000e+00
1.078999999999999959e-01 0.000000000000000000e+00
1.108999999999999986e-01 0.000000000000000000e+00
1.139000000000000012e-01 0.000000000000000000e+00
1.169000000000000039e-01 0.000000000000000000e+00
1.199000000000000066e-01 0.000000000000000000e+00
1.228999999999999954e-01 0.000000000000000000e+00
1.259000000000000119e-01 0.000000000000000000e+00
1.288999999999999868e-01 0.000000000000000000e+00
1.318999999999999895e-01 0.000000000000000000e+00
1.348999999999999921e-01 0.000000000000000000e+00
1.378999999999999948e-01 0.000000000000000000e+00
1.408999999999999975e-01 0.000000000000000000e+00
1.438000000000000111e-01 0.000000000000000000e+00
1.468000000000000138e-01 0.000000000000000000e+00
1.497999999999999887e-01 0.000000000000000000e+00
1.527999999999999914e-01 0.000000000000000000e+00
1.557999999999999940e-01 0.000000000000000000e+00
1.587999999999999967e-01 0.000000000000000000e+00
1.617999999999999994e-01 0.000000000000000000e+00
1.648000000000000020e-01 0.000000000000000000e+00
1.678000000000000047e-01 0.000000000000000000e+00
1.708000000000000074e-01 0.000000000000000000e+00
1.738000000000000100e-01 0.000000000000000000e+00
1.768000000000000127e-01 0.000000000000000000e+00
1.797999999999999876e-01 0.000000000000000000e+00
1.827999999999999903e-01 0.000000000000000000e+00
1.857999999999999929e-01 0.000000000000000000e+00
1.887999999999999956e-01 0.000000000000000000e+00
1.917999999999999983e-01 0.000000000000000000e+00
1.948000000000000009e-01 0.000000000000000000e+00
1.978000000000000036e-01 0.000000000000000000e+00
2.008000000000000063e-01 0.000000000000000000e+00
2.038000000000000089e-01 0.000000000000000000e+00
2.068000000000000116e-01 0.000000000000000000e+00
2.097999999999999865e-01 0.000000000000000000e+00
2.127999999999999892e-01 0.000000000000000000e+00
2.157999999999999918e-01 0.000000000000000000e+00
2.187999999999999945e-01 0.000000000000000000e+00
2.217999999999999972e-01 0.000000000000000000e+00
2.247999999999999998e-01 0.000000000000000000e+00
2.278000000000000025e-01 0.000000000000000000e+00
2.308000000000000052e-01 0.000000000000000000e+00
2.338000000000000078e-01 0.000000000000000000e+00
2.366999999999999937e-01 0.000000000000000000e+00
2.396999999999999964e-01 0.000000000000000000e+00
2.426999999999999991e-01 0.000000000000000000e+00
2.457000000000000017e-01 0.000000000000000000e+00
2.487000000000000044e-01 0.000000000000000000e+00
2.516999999999999793e-01 0.000000000000000000e+00
2.546999999999999820e-01 0.000000000000000000e+00
2.576999999999999846e-01 0.000000000000000000e+00
2.606999999999999873e-01 0.000000000000000000e+00
2.636999999999999900e-01 0.000000000000000000e+00
2.666999999999999926e-01 0.000000000000000000e+00
2.696999999999999953e-01 0.000000000000000000e+00
2.726999999999999980e-01 0.000000000000000000e+00
2.757000000000000006e-01 0.000000000000000000e+00
2.787000000000000033e-01 0.000000000000000000e+00
2.817000000000000060e-01 0.000000000000000000e+00
2.847000000000000086e-01 0.000000000000000000e+00
2.877000000000000113e-01 0.000000000000000000e+00
2.907000000000000139e-01 0.000000000000000000e+00
2.937000000000000166e-01 0.000000000000000000e+00
2.967000000000000193e-01 0.000000000000000000e+00
2.997000000000000219e-01 0.000000000000000000e+00
3.027000000000000246e-01 0.000000000000000000e+00
3.057000000000000273e-01 0.000000000000000000e+00
3.086999999999999744e-01 0.000000000000000000e+00
3.116999999999999771e-01 0.000000000000000000e+00
3.146999999999999797e-01 0.000000000000000000e+00
3.176999999999999824e-01 0.000000000000000000e+00
3.206999999999999851e-01 0.000000000000000000e+00
3.236999999999999877e-01 0.000000000000000000e+00
3.266999999999999904e-01 0.000000000000000000e+00
3.296999999999999931e-01 0.000000000000000000e+00
3.326000000000000068e-01 0.000000000000000000e+00
3.356000000000000094e-01 0.000000000000000000e+00
3.386000000000000121e-01 0.000000000000000000e+00
3.416000000000000147e-01 0.000000000000000000e+00
3.446000000000000174e-01 0.000000000000000000e+00
3.476000000000000201e-01 0.000000000000000000e+00
3.506000000000000227e-01 0.000000000000000000e+00
3.536000000000000254e-01 0.000000000000000000e+00
3.565999999999999726e-01 0.000000000000000000e+00
3.595999999999999752e-01 0.000000000000000000e+00
3.625999999999999779e-01 0.000000000000000000e+00
3.655999999999999805e-01 0.000000000000000000e+00
3.685999999999999832e-01 0.000000000000000000e+00
3.715999999999999859e-01 0.000000000000000000e+00
3.745999999999999885e-01 0.000000000000000000e+00
3.775999999999999912e-01 0.000000000000000000e+00
3.805999999999999939e-01 0.000000000000000000e+00
3.835999999999999965e-01 0.000000000000000000e+00
3.865999999999999992e-01 0.000000000000000000e+00
3.896000000000000019e-01 0.000000000000000000e+00
3.926000000000000045e-01 0.000000000000000000e+00
3.956000000000000072e-01 0.000000000000000000e+00
3.986000000000000099e-01 0.000000000000000000e+00
4.016000000000000125e-01 0.000000000000000000e+00
4.046000000000000152e-01 0.000000000000000000e+00
4.076000000000000179e-01 0.000000000000000000e+00
4.106000000000000205e-01 0.000000000000000000e+00
4.136000000000000232e-01 0.000000000000000000e+00
4.166000000000000258e-01 0.000000000000000000e+00
4.195999999999999730e-01 0.000000000000000000e+00
4.225999999999999757e-01 0.000000000000000000e+00
4.255999999999999783e-01 0.000000000000000000e+00
4.284999999999999920e-01 0.000000000000000000e+00
4.314999999999999947e-01 0.000000000000000000e+00
4.344999999999999973e-01 0.000000000000000000e+00
4.375000000000000000e-01 0.000000000000000000e+00
4.405000000000000027e-01 0.000000000000000000e+00
4.435000000000000053e-01 0.000000000000000000e+00
4.465000000000000080e-01 0.000000000000000000e+00
4.495000000000000107e-01 0.000000000000000000e+00
4.525000000000000133e-01 0.000000000000000000e+00
4.555000000000000160e-01 0.000000000000000000e+00
4.585000000000000187e-01 0.000000000000000000e+00
4.615000000000000213e-01 0.000000000000000000e+00
4.645000000000000240e-01 0.000000000000000000e+00
