# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.239999999999999977e-02 0.000000000000000000e+00
4.490000000000000241e-02 0.000000000000000000e+00
6.729999999999999871e-02 0.000000000000000000e+00
8.970000000000000195e-02 0.000000000000000000e+00
1.121999999999999942e-01 0.000000000000000000e+00
1.345999999999999974e-01 0.000000000000000000e+00
1.570000000000000007e-01 2.998109832755158966e+00
1.794999999999999929e-01 5.186048375336384453e+01
2.018999999999999961e-01 1.752251408596262934e+02
2.242999999999999994e-01 3.920608793248221104e+02
2.467999999999999916e-01 7.202676846805396735e+02
2.691999999999999948e-01 1.177046284649544987e+03
2.916000000000000258e-01 1.778763286557405763e+03
3.140000000000000013e-01 2.541822032210792258e+03
3.365000000000000213e-01 3.483269531193128842e+03
3.588999999999999968e-01 4.616656779798201569e+03
3.812999999999999723e-01 5.959207338562882796e+03
4.037999999999999923e-01 7.528738828354790712e+03
4.262000000000000233e-01 9.338774242374156529e+03
4.485999999999999988e-01 1.140786334330777026e+04
4.711000000000000187e-01 1.375852028215788414e+04
4.934999999999999942e-01 1.640663272613268055e+04
5.159000000000000252e-01 1.937822504762925018e+04
5.383999999999999897e-01 2.270884367609578112e+04
5.607999999999999652e-01 2.637492583733062202e+04
5.832000000000000517e-01 3.040477902700828054e+04
6.057000000000000162e-01 3.483547238837654731e+04
6.280999999999999917e-01 3.945767370178405690e+04
6.504999999999999671e-01 4.421824503828949673e+04
6.730000000000000426e-01 4.910736074671471579e+04
6.954000000000000181e-01 5.411099242003713880e+04
7.177999999999999936e-01 5.926113704123530624e+04
7.402999999999999581e-01 6.457890620813611895e+04
7.627000000000000446e-01 7.006525732576863084e+04
7.851000000000000201e-01 7.573480730562515964e+04
8.075999999999999845e-01 8.160097007035772549e+04
8.299999999999999600e-01 8.764854402320216468e+04
8.524000000000000465e-01 9.389599669684267428e+04
8.749000000000000110e-01 1.003672478790999012e+05
8.972999999999999865e-01 1.070624182473739493e+05
9.196999999999999620e-01 1.140341593451561494e+05
9.421000000000000485e-01 1.213781451506133162e+05
9.646000000000000130e-01 1.291341348633350572e+05
9.869999999999999885e-01 1.351508645028217288e+05
1.009400000000000075e+00 1.404763378349966661e+05
1.031900000000000039e+00 1.456649423715793528e+05
1.054300000000000015e+00 1.508098176028948801e+05
1.076699999999999990e+00 1.559773873151465668e+05
1.099199999999999955e+00 1.612155390136902861e+05
1.121599999999999930e+00 1.665314043241960753e+05
1.143999999999999906e+00 1.719617250421706703e+05
1.166500000000000092e+00 1.775395122255425958e+05
1.188900000000000068e+00 1.832523399380892224e+05
1.211300000000000043e+00 1.891331927997572056e+05
1.233800000000000008e+00 1.952146102069848857e+05
1.256199999999999983e+00 2.015786622546889412e+05
1.278599999999999959e+00 2.083780936321261979e+05
1.301099999999999923e+00 2.150688254940215556e+05
1.323499999999999899e+00 2.204719794681220374e+05
1.345900000000000096e+00 2.254265220669123810e+05
1.368400000000000061e+00 2.305639306542697304e+05
1.390800000000000036e+00 2.361453552859814372e+05
1.413200000000000012e+00 2.416724405721891380e+05
1.435699999999999976e+00 2.473303535893763183e+05
1.458099999999999952e+00 2.533034408437931852e+05
1.480499999999999927e+00 2.599306068443719996e+05
1.502999999999999892e+00 2.679037455018642358e+05
1.525400000000000089e+00 2.772486485847362783e+05
1.547800000000000065e+00 2.828192991869112011e+05
1.570200000000000040e+00 2.797085740894025657e+05
1.592700000000000005e+00 2.719178355808575288e+05
1.615099999999999980e+00 2.650003096196078695e+05
1.637499999999999956e+00 2.596626251278474519e+05
1.659999999999999920e+00 2.550354390420186101e+05
1.682399999999999896e+00 2.507399856434134708e+05
1.704800000000000093e+00 2.470246025774966984e+05
1.727300000000000058e+00 2.443947834513666749e+05
1.749700000000000033e+00 2.422155650248472521e+05
1.772100000000000009e+00 2.396971379674405325e+05
1.794599999999999973e+00 2.366694453326116782e+05
1.816999999999999948e+00 2.335213085639366473e+05
1.839399999999999924e+00 2.309682541580287798e+05
1.861900000000000110e+00 2.295914236581019068e+05
