# energy(eV) alpha
0.000000000000000000e+00 4.069967239835393435e+00
2.239999999999999977e-02 4.070970400285416346e+00
4.490000000000000241e-02 4.073998854524466751e+00
6.729999999999999871e-02 4.079146152485018995e+00
8.970000000000000195e-02 4.086551113102587784e+00
1.121999999999999942e-01 4.096494436303638409e+00
1.345999999999999974e-01 4.109460629652833319e+00
1.570000000000000007e-01 4.126374526067362325e+00
1.794999999999999929e-01 4.147241766565564980e+00
2.018999999999999961e-01 4.170866769316591949e+00
2.242999999999999994e-01 4.196295493633577678e+00
2.467999999999999916e-01 4.222900143905428116e+00
2.691999999999999948e-01 4.250194921648316360e+00
2.916000000000000258e-01 4.277777085220495934e+00
3.140000000000000013e-01 4.305305485383271069e+00
3.365000000000000213e-01 4.332459732770301386e+00
3.588999999999999968e-01 4.358961611684776472e+00
3.812999999999999723e-01 4.384532927577020622e+00
4.037999999999999923e-01 4.408897864807849842e+00
4.262000000000000233e-01 4.431779646771189185e+00
4.485999999999999988e-01 4.452873823159457345e+00
4.711000000000000187e-01 4.471843406853444058e+00
4.934999999999999942e-01 4.488271688056761022e+00
5.159000000000000252e-01 4.501604073552315732e+00
5.383999999999999897e-01 4.510975861245104745e+00
5.607999999999999652e-01 4.515730013335171655e+00
5.832000000000000517e-01 4.515526773129544758e+00
6.057000000000000162e-01 4.509045954337787876e+00
6.280999999999999917e-01 4.495503457139271575e+00
6.504999999999999671e-01 4.476538623231191671e+00
6.730000000000000426e-01 4.453521661687121380e+00
6.954000000000000181e-01 4.427480145614572038e+00
7.177999999999999936e-01 4.399035604474189398e+00
7.402999999999999581e-01 4.368411801012898721e+00
7.627000000000000446e-01 4.335698123084254618e+00
7.851000000000000201e-01 4.300827247671530351e+00
8.075999999999999845e-01 4.263731123764505249e+00
8.299999999999999600e-01 4.224315402217754034e+00
8.524000000000000465e-01 4.182446977657674481e+00
8.749000000000000110e-01 4.137889484880343360e+00
8.972999999999999865e-01 4.090213976388137773e+00
9.196999999999999620e-01 4.038610600177572785e+00
9.421000000000000485e-01 3.981130838484046919e+00
9.646000000000000130e-01 3.912685844541095914e+00
9.869999999999999885e-01 3.831683182314950198e+00
1.009400000000000075e+00 3.761126046139630752e+00
1.031900000000000039e+00 3.700240368167708294e+00
1.054300000000000015e+00 3.645775263226321172e+00
1.076699999999999990e+00 3.596204957679194791e+00
1.099199999999999955e+00 3.550610819981709021e+00
1.121599999999999930e+00 3.508388934830525940e+00
1.143999999999999906e+00 3.468966638634462196e+00
1.166500000000000092e+00 3.431844819128802904e+00
1.188900000000000068e+00 3.396576439877256437e+00
1.211300000000000043e+00 3.362711484763617698e+00
1.233800000000000008e+00 3.329825717484959480e+00
1.256199999999999983e+00 3.297400849210038398e+00
1.278599999999999959e+00 3.263665199234837999e+00
1.301099999999999923e+00 3.225051414120969184e+00
1.323499999999999899e+00 3.181522287326467247e+00
1.345900000000000096e+00 3.140237984567182838e+00
1.368400000000000061e+00 3.102192096797211196e+00
1.390800000000000036e+00 3.064786403162643502e+00
