# energy(eV) alpha
0.000000000000000000e+00 3.943531944745785722e+00
2.239999999999999977e-02 3.944333841691992859e+00
4.490000000000000241e-02 3.946749091587047786e+00
6.729999999999999871e-02 3.950851002100796094e+00
8.970000000000000195e-02 3.956739676044924270e+00
1.121999999999999942e-01 3.964626782123282567e+00
1.345999999999999974e-01 3.974876983638951700e+00
1.570000000000000007e-01 3.988175294450405417e+00
1.794999999999999929e-01 4.004512028831594961e+00
2.018999999999999961e-01 4.022973567479589008e+00
2.242999999999999994e-01 4.042840866104280728e+00
2.467999999999999916e-01 4.063654414924631197e+00
2.691999999999999948e-01 4.085067204250439232e+00
2.916000000000000258e-01 4.106800346054253481e+00
3.140000000000000013e-01 4.128635375341827896e+00
3.365000000000000213e-01 4.150362018091065863e+00
3.588999999999999968e-01 4.171818500539775876e+00
3.812999999999999723e-01 4.192837279942898121e+00
4.037999999999999923e-01 4.213268029493897338e+00
4.262000000000000233e-01 4.232957626183461386e+00
4.485999999999999988e-01 4.251746035694756287e+00
4.711000000000000187e-01 4.269459813701295126e+00
4.934999999999999942e-01 4.285885942389329628e+00
5.159000000000000252e-01 4.300754974320901702e+00
5.383999999999999897e-01 4.313566973057243459e+00
5.607999999999999652e-01 4.323757399847638183e+00
5.832000000000000517e-01 4.330981754696937358e+00
6.057000000000000162e-01 4.334260426954551271e+00
6.280999999999999917e-01 4.332760240613351854e+00
6.504999999999999671e-01 4.327549255448902343e+00
6.730000000000000426e-01 4.319539436736722138e+00
6.954000000000000181e-01 4.309433618888466988e+00
7.177999999999999936e-01 4.297688122081700257e+00
7.402999999999999581e-01 4.284453491048457074e+00
7.627000000000000446e-01 4.269777803913575198e+00
7.851000000000000201e-01 4.253598673354612281e+00
8.075999999999999845e-01 4.235849862711395630e+00
8.299999999999999600e-01 4.216455528238340023e+00
8.524000000000000465e-01 4.195317121591505938e+00
8.749000000000000110e-01 4.172281233190976657e+00
8.972999999999999865e-01 4.147081263500480119e+00
9.196999999999999620e-01 4.119235858401087746e+00
9.421000000000000485e-01 4.087604652619624801e+00
9.646000000000000130e-01 4.048685322445352952e+00
9.869999999999999885e-01 3.996031842388594768e+00
1.009400000000000075e+00 3.948134300394984031e+00
1.031900000000000039e+00 3.905597934598342924e+00
1.054300000000000015e+00 3.866336784648464864e+00
1.076699999999999990e+00 3.829345306058314691e+00
1.099199999999999955e+00 3.794004785871474272e+00
1.121599999999999930e+00 3.759865424314752236e+00
1.143999999999999906e+00 3.726494206444262325e+00
1.166500000000000092e+00 3.693528170279234857e+00
1.188900000000000068e+00 3.660634955108970079e+00
1.211300000000000043e+00 3.627468660294610459e+00
1.233800000000000008e+00 3.593707014482522943e+00
1.256199999999999983e+00 3.558725035163836203e+00
1.278599999999999959e+00 3.520685961264437225e+00
1.301099999999999923e+00 3.477441971649341212e+00
1.323499999999999899e+00 3.431376381856243718e+00
1.345900000000000096e+00 3.388134302307062917e+00
1.368400000000000061e+00 3.348098298082617053e+00
1.390800000000000036e+00 3.309240942722383672e+00
1.413200000000000012e+00 3.268081851137650151e+00
1.435699999999999976e+00 3.226653376325366196e+00
1.458099999999999952e+00 3.184872102771724833e+00
1.480499999999999927e+00 3.141815460431957696e+00
1.502999999999999892e+00 3.095129977358610507e+00
1.525400000000000089e+00 3.033178329543597673e+00
1.547800000000000065e+00 2.924733916875947859e+00
1.570200000000000040e+00 2.785467194849697847e+00
1.592700000000000005e+00 2.694663363870728467e+00
1.615099999999999980e+00 2.656436743480007578e+00
1.637499999999999956e+00 2.628551315299088031e+00
1.659999999999999920e+00 2.605297781597255558e+00
1.682399999999999896e+00 2.587645814403936928e+00
1.704800000000000093e+00 2.576068198179071622e+00
1.727300000000000058e+00 2.569367143611779092e+00
1.749700000000000033e+00 2.559689529001148767e+00
1.772100000000000009e+00 2.547970756571232620e+00
1.794599999999999973e+00 2.537657070120812541e+00
1.816999999999999948e+00 2.531993808758481901e+00
1.839399999999999924e+00 2.532581582395579289e+00
1.861900000000000110e+00 2.536370415653559363e+00
1.884300000000000086e+00 2.538376523304200383e+00
1.906700000000000061e+00 2.537364509990512662e+00
1.929200000000000026e+00 2.533123229732777926e+00
1.951600000000000001e+00 2.525632579600233463e+00
1.973999999999999977e+00 2.513645787925135711e+00
1.996499999999999941e+00 2.496933431005562198e+00
2.018899999999999917e+00 2.493411999704475690e+00
2.041300000000000114e+00 2.488767437320649201e+00
2.063800000000000079e+00 2.484448341645216107e+00
