# energy(eV) alpha
0.000000000000000000e+00 2.555380224979260095e+00
1.359999999999999924e-02 2.555399698269360975e+00
2.709999999999999909e-02 2.555438669607897229e+00
4.070000000000000007e-02 2.555497187044422081e+00
5.430000000000000104e-02 2.555575320272482465e+00
6.790000000000000202e-02 2.555673157020296848e+00
8.140000000000000013e-02 2.555790799998395091e+00
9.500000000000000111e-02 2.555928361302080010e+00
1.086000000000000021e-01 2.556085959474684977e+00
1.222000000000000031e-01 2.556263716279689735e+00
1.356999999999999873e-01 2.556461752945269339e+00
1.492999999999999883e-01 2.556680187299181561e+00
1.628999999999999893e-01 2.556919132860365096e+00
1.764000000000000012e-01 2.557178698154529251e+00
1.900000000000000022e-01 2.557458985904499826e+00
2.036000000000000032e-01 2.557760093682527103e+00
2.172000000000000042e-01 2.558082114877881175e+00
2.306999999999999884e-01 2.558425139549155958e+00
2.442999999999999894e-01 2.558789256265826317e+00
2.579000000000000181e-01 2.559174551670322817e+00
2.715000000000000191e-01 2.559581112825574323e+00
2.849999999999999756e-01 2.560009027816802618e+00
2.985999999999999766e-01 2.560458386762697991e+00
3.121999999999999775e-01 2.560929281620412112e+00
3.256999999999999895e-01 2.561421807594240541e+00
3.392999999999999905e-01 2.561936062955345150e+00
3.528999999999999915e-01 2.562472149923124665e+00
3.664999999999999925e-01 2.563030175363372187e+00
3.800000000000000044e-01 2.563610250575651950e+00
3.936000000000000054e-01 2.564212492394918108e+00
4.072000000000000064e-01 2.564837023154424855e+00
4.208000000000000074e-01 2.565483970743343889e+00
4.343000000000000194e-01 2.566153469275470389e+00
4.479000000000000203e-01 2.566845659109433520e+00
4.615000000000000213e-01 2.567560686879096110e+00
4.751000000000000223e-01 2.568298704579194514e+00
4.885999999999999788e-01 2.569059871413916341e+00
5.021999999999999797e-01 2.569844351546450856e+00
5.158000000000000362e-01 2.570652316119503400e+00
5.292999999999999927e-01 2.571483942031663084e+00
5.429000000000000492e-01 2.572339412601568398e+00
5.564999999999999947e-01 2.573218917626268087e+00
5.701000000000000512e-01 2.574122653535147798e+00
5.836000000000000076e-01 2.575050825560309953e+00
5.971999999999999531e-01 2.576003646245511369e+00
6.108000000000000096e-01 2.576981336168032932e+00
6.243999999999999551e-01 2.577984125144836103e+00
6.379000000000000226e-01 2.579012252122713011e+00
6.514999999999999680e-01 2.580065965443389508e+00
6.651000000000000245e-01 2.581145523491643168e+00
6.785999999999999810e-01 2.582251193792427735e+00
6.922000000000000375e-01 2.583383254249825178e+00
7.057999999999999829e-01 2.584541993162809526e+00
7.194000000000000394e-01 2.585727709030199328e+00
7.328999999999999959e-01 2.586940711532917270e+00
7.465000000000000524e-01 2.588181321677105906e+00
7.600999999999999979e-01 2.589449873124792134e+00
7.737000000000000544e-01 2.590746711392363899e+00
7.872000000000000108e-01 2.592072196424413555e+00
8.007999999999999563e-01 2.593426702567617870e+00
8.144000000000000128e-01 2.594810620452737915e+00
8.278999999999999693e-01 2.596224356665257194e+00
8.415000000000000258e-01 2.597668335618320334e+00
8.550999999999999712e-01 2.599143000692856198e+00
8.687000000000000277e-01 2.600648814133840858e+00
8.821999999999999842e-01 2.602186259545860025e+00
8.958000000000000407e-01 2.603755841624391110e+00
9.093999999999999861e-01 2.605358088915692427e+00
9.230000000000000426e-01 2.606993554062483121e+00
9.364999999999999991e-01 2.608662814940345243e+00
9.500999999999999446e-01 2.610366478118669953e+00
9.637000000000000011e-01 2.612105180241003133e+00
9.771999999999999575e-01 2.613879589206354659e+00
9.908000000000000140e-01 2.615690408251434285e+00
1.004399999999999959e+00 2.617538378527719978e+00
1.018000000000000016e+00 2.619424282228774103e+00
1.031500000000000083e+00 2.621348946406013347e+00
1.045099999999999918e+00 2.623313246924566133e+00
1.058699999999999974e+00 2.625318114786069579e+00
1.072300000000000031e+00 2.627364540079351940e+00
1.085800000000000098e+00 2.629453578860871943e+00
1.099399999999999933e+00 2.631586359398576214e+00
1.112999999999999989e+00 2.633764090926075330e+00
1.126500000000000057e+00 2.635988073986461622e+00
1.140099999999999891e+00 2.638259711006635477e+00
1.153699999999999948e+00 2.640580519253007630e+00
1.167300000000000004e+00 2.642952146261442259e+00
1.180800000000000072e+00 2.645376383322451730e+00
1.194399999999999906e+00 2.647855184051965072e+00
1.207999999999999963e+00 2.650390679269233107e+00
1.221600000000000019e+00 2.652985192843401396e+00
1.235100000000000087e+00 2.655641254322556044e+00
1.248699999999999921e+00 2.658361606399852306e+00
1.262299999999999978e+00 2.661149208595444904e+00
1.275900000000000034e+00 2.664007228593868071e+00
1.289400000000000102e+00 2.666939022939700088e+00
1.302999999999999936e+00 2.669948107226566059e+00
1.316599999999999993e+00 2.673038104560004236e+00
1.330100000000000060e+00 2.676212683865879516e+00
1.343699999999999894e+00 2.679475477718435972e+00
1.357299999999999951e+00 2.682829985971233455e+00
1.370900000000000007e+00 2.686279467883090355e+00
1.384400000000000075e+00 2.689826823625702801e+00
1.397999999999999909e+00 2.693474477240368703e+00
1.411599999999999966e+00 2.697224259284960457e+00
1.425200000000000022e+00 2.701077302748104536e+00
1.438700000000000090e+00 2.705033956218676039e+00
1.452299999999999924e+00 2.709093718641342186e+00
1.465899999999999981e+00 2.713255204699739132e+00
1.479400000000000048e+00 2.717516139120319085e+00
1.493000000000000105e+00 2.721873382939577812e+00
1.506599999999999939e+00 2.726322987293048783e+00
1.520199999999999996e+00 2.730860275433313777e+00
1.533700000000000063e+00 2.735479942717868429e+00
1.547299999999999898e+00 2.740176172425719869e+00
1.560899999999999954e+00 2.744942754737883295e+00
1.574500000000000011e+00 2.749773209271028751e+00
1.588000000000000078e+00 2.754660898217667686e+00
1.601599999999999913e+00 2.759599129993215882e+00
1.615199999999999969e+00 2.764581246872227727e+00
1.628700000000000037e+00 2.769600696633994552e+00
1.642300000000000093e+00 2.774651085121631500e+00
1.655899999999999928e+00 2.779726211794672608e+00
1.669499999999999984e+00 2.784820091907237671e+00
1.683000000000000052e+00 2.789926960989446592e+00
1.696600000000000108e+00 2.795041273016407590e+00
1.710199999999999942e+00 2.800157685412964614e+00
1.723799999999999999e+00 2.805271041682447120e+00
1.737300000000000066e+00 2.810376346848517670e+00
1.750899999999999901e+00 2.815468741869351810e+00
1.764499999999999957e+00 2.820543476202870714e+00
1.778000000000000025e+00 2.825595879303649305e+00
1.791600000000000081e+00 2.830621333623899449e+00
1.805199999999999916e+00 2.835615244476778152e+00
1.818799999999999972e+00 2.840573012885734716e+00
1.832300000000000040e+00 2.845490005844462988e+00
1.845900000000000096e+00 2.850361525162682597e+00
1.859499999999999931e+00 2.855182774454438466e+00
1.873099999999999987e+00 2.859948822411624736e+00
1.886600000000000055e+00 2.864654558003595586e+00
1.900199999999999889e+00 2.869294631233462844e+00
1.913799999999999946e+00 2.873863391682876856e+00
1.927400000000000002e+00 2.878354891670579896e+00
1.940900000000000070e+00 2.882762825793403039e+00
1.954499999999999904e+00 2.887080395401680377e+00
1.968099999999999961e+00 2.891300228742923473e+00
1.981600000000000028e+00 2.895414286534732540e+00
1.995200000000000085e+00 2.899413756131989039e+00
2.008799999999999919e+00 2.903288946659903225e+00
2.022400000000000198e+00 2.907029187978006135e+00
2.035899999999999821e+00 2.910622746947327144e+00
2.049500000000000099e+00 2.914056777415835242e+00
2.063099999999999934e+00 2.917317319288841748e+00
2.076700000000000212e+00 2.920389370685857244e+00
2.090199999999999836e+00 2.923257057473636067e+00
2.103800000000000114e+00 2.925903918207387822e+00
2.117399999999999949e+00 2.928313329121249531e+00
2.130900000000000016e+00 2.930469076715717325e+00
2.144499999999999851e+00 2.932356079305697083e+00
2.158100000000000129e+00 2.933961247716051268e+00
2.171699999999999964e+00 2.935274448452491303e+00
2.185200000000000031e+00 2.936289526479554102e+00
2.198799999999999866e+00 2.937005318174565449e+00
2.212400000000000144e+00 2.937426579705405771e+00
2.225999999999999979e+00 2.937564741527156631e+00
2.239500000000000046e+00 2.937438409076217116e+00
2.253099999999999881e+00 2.937073530353496054e+00
2.266700000000000159e+00 2.936503179642958816e+00
2.280199999999999783e+00 2.935766930219236848e+00
2.293800000000000061e+00 2.934909823780587068e+00
2.307399999999999896e+00 2.933980983944986853e+00
2.321000000000000174e+00 2.933031949891906187e+00
2.334499999999999797e+00 2.932114841543141281e+00
2.348100000000000076e+00 2.931280482894795369e+00
2.361699999999999910e+00 2.930576614259822410e+00
2.375300000000000189e+00 2.930046317923065580e+00
2.388799999999999812e+00 2.929726759331530594e+00
2.402400000000000091e+00 2.929648314516807961e+00
2.415999999999999925e+00 2.929834114871312511e+00
2.429499999999999993e+00 2.930300006613129060e+00
2.443099999999999827e+00 2.931054881508200260e+00
2.456700000000000106e+00 2.932101311767873586e+00
2.470299999999999940e+00 2.933436403768455936e+00
2.483800000000000008e+00 2.935052782290702655e+00
2.497399999999999842e+00 2.936939614825555545e+00
2.511000000000000121e+00 2.939083604110924952e+00
2.524599999999999955e+00 2.941469890699981438e+00
2.538100000000000023e+00 2.944082828921145367e+00
2.551699999999999857e+00 2.946906613371721662e+00
2.565300000000000136e+00 2.949925757240576374e+00
2.578800000000000203e+00 2.953125430328731316e+00
2.592400000000000038e+00 2.956491672342091537e+00
2.605999999999999872e+00 2.960011508758503940e+00
2.619600000000000151e+00 2.963672989377262645e+00
2.633100000000000218e+00 2.967465172125732131e+00
2.646700000000000053e+00 2.971378072549054838e+00
2.660299999999999887e+00 2.975402593265795037e+00
2.673900000000000166e+00 2.979530449549632642e+00
2.687399999999999789e+00 2.983754094459007522e+00
2.701000000000000068e+00 2.988066656000159860e+00
2.714599999999999902e+00 2.992461871933635553e+00
2.728200000000000180e+00 2.996933999009049110e+00
2.741699999999999804e+00 3.001477791996637556e+00
2.755300000000000082e+00 3.006088546369551029e+00
2.768899999999999917e+00 3.010762054424283463e+00
2.782399999999999984e+00 3.015494587281774219e+00
2.795999999999999819e+00 3.020282878399302096e+00
2.809600000000000097e+00 3.025124147552966214e+00
2.823199999999999932e+00 3.030016133308941484e+00
2.836699999999999999e+00 3.034957065548693045e+00
2.850299999999999834e+00 3.039945671222609835e+00
2.863900000000000112e+00 3.044981177758837809e+00
2.877499999999999947e+00 3.050063308757279490e+00
2.891000000000000014e+00 3.055192270050957948e+00
2.904599999999999849e+00 3.060368731646608609e+00
2.918200000000000127e+00 3.065593804203925465e+00
2.931700000000000195e+00 3.070869000217242295e+00
2.945300000000000029e+00 3.076196186476430672e+00
2.958899999999999864e+00 3.081577556671235563e+00
2.972500000000000142e+00 3.087015596827335173e+00
2.986000000000000210e+00 3.092513058767842882e+00
2.999600000000000044e+00 3.098073019507005643e+00
3.013199999999999878e+00 3.103698987782043339e+00
3.026800000000000157e+00 3.109395032811683279e+00
3.040299999999999780e+00 3.115165971232417341e+00
3.053900000000000059e+00 3.121017598234873791e+00
3.067499999999999893e+00 3.126956938156484345e+00
3.080999999999999961e+00 3.132992485062664034e+00
3.094599999999999795e+00 3.139134385775204539e+00
3.108200000000000074e+00 3.145394513007835346e+00
