# energy(eV) n_real
0.000000000000000000e+00 2.554877687874705039e+00
1.359999999999999924e-02 2.554897258208243649e+00
2.709999999999999909e-02 2.554916828391875505e+00
4.070000000000000007e-02 2.554975538043367855e+00
5.430000000000000104e-02 2.555034246345829096e+00
6.790000000000000202e-02 2.555132090519000698e+00
8.140000000000000013e-02 2.555249498581302792e+00
9.500000000000000111e-02 2.555386467836127551e+00
1.086000000000000021e-01 2.555542995138215367e+00
1.222000000000000031e-01 2.555699512853574440e+00
1.356999999999999873e-01 2.555895146519120864e+00
1.492999999999999883e-01 2.556110326257456045e+00
1.628999999999999893e-01 2.556364606232842895e+00
1.764000000000000012e-01 2.556618860917676983e+00
1.900000000000000022e-01 2.556892645380325568e+00
2.036000000000000032e-01 2.557185953347937080e+00
2.172000000000000042e-01 2.557518328380072425e+00
2.306999999999999884e-01 2.557850660222366734e+00
2.442999999999999894e-01 2.558222038838693368e+00
2.579000000000000181e-01 2.558593363549589217e+00
2.715000000000000191e-01 2.559003712384958718e+00
2.849999999999999756e-01 2.559433531076749979e+00
2.985999999999999766e-01 2.559863277599020215e+00
3.121999999999999775e-01 2.560332009720614366e+00
3.256999999999999895e-01 2.560839706033940733e+00
3.392999999999999905e-01 2.561347301714470781e+00
3.528999999999999915e-01 2.561874313856946195e+00
3.664999999999999925e-01 2.562420730481237641e+00
3.800000000000000044e-01 2.563006047593333392e+00
3.936000000000000054e-01 2.563610734881565101e+00
4.072000000000000064e-01 2.564234778642548562e+00
4.208000000000000074e-01 2.564878164747791622e+00
4.343000000000000194e-01 2.565540878645280465e+00
4.479000000000000203e-01 2.566222905361106754e+00
4.615000000000000213e-01 2.566924229501135635e+00
4.751000000000000223e-01 2.567664308277076479e+00
4.885999999999999788e-01 2.568423641068583230e+00
5.021999999999999797e-01 2.569202210803968711e+00
5.158000000000000362e-01 2.569999999999999396e+00
5.292999999999999927e-01 2.570836439760413761e+00
5.429000000000000492e-01 2.571692049993544504e+00
5.564999999999999947e-01 2.572547375657054936e+00
5.701000000000000512e-01 2.573460704965202517e+00
5.836000000000000076e-01 2.574373710244882041e+00
5.971999999999999531e-01 2.575325222180686158e+00
6.108000000000000096e-01 2.576295790471272884e+00
6.243999999999999551e-01 2.577285393587601892e+00
6.379000000000000226e-01 2.578313402206954486e+00
6.514999999999999680e-01 2.579360385832115021e+00
6.651000000000000245e-01 2.580426321366296794e+00
6.785999999999999810e-01 2.581530553760694957e+00
6.922000000000000375e-01 2.582653674033744018e+00
7.057999999999999829e-01 2.583795657554985414e+00
7.194000000000000394e-01 2.584975821937218754e+00
7.328999999999999959e-01 2.586174781409794399e+00
7.465000000000000524e-01 2.587411834246724496e+00
7.600999999999999979e-01 2.588667610953557574e+00
7.737000000000000544e-01 2.589961389673598902e+00
7.872000000000000108e-01 2.591273818028500209e+00
8.007999999999999563e-01 2.592624153247053531e+00
8.144000000000000128e-01 2.593993060900510628e+00
8.278999999999999693e-01 2.595380511601333318e+00
8.415000000000000258e-01 2.596824984476235443e+00
8.550999999999999712e-01 2.598287897828106541e+00
8.687000000000000277e-01 2.599769220527083480e+00
8.821999999999999842e-01 2.601307363615457113e+00
8.958000000000000407e-01 2.602844597743015242e+00
9.093999999999999861e-01 2.604438519143809749e+00
9.230000000000000426e-01 2.606050651848501154e+00
9.364999999999999991e-01 2.607719310048532968e+00
9.500999999999999446e-01 2.609406062689362038e+00
9.637000000000000011e-01 2.611110874704480445e+00
9.771999999999999575e-01 2.612871983086809458e+00
9.908000000000000140e-01 2.614670151281036858e+00
1.004399999999999959e+00 2.616486193351686751e+00
1.018000000000000016e+00 2.618358264256440471e+00
1.031500000000000083e+00 2.620248079858088719e+00
1.045099999999999918e+00 2.622193738075049296e+00
1.058699999999999974e+00 2.624176061166628493e+00
1.072300000000000031e+00 2.626194966105905415e+00
1.085800000000000098e+00 2.628250368591241504e+00
1.099399999999999933e+00 2.630342183062880146e+00
1.112999999999999989e+00 2.632489316217636599e+00
1.126500000000000057e+00 2.634691632810185258e+00
1.140099999999999891e+00 2.636911071689752806e+00
1.153699999999999948e+00 2.639204425579799285e+00
1.167300000000000004e+00 2.641514716975848831e+00
1.180800000000000072e+00 2.643898636483630327e+00
1.194399999999999906e+00 2.646318197042827336e+00
1.207999999999999963e+00 2.648811054039151180e+00
1.221600000000000019e+00 2.651339284210906033e+00
1.235100000000000087e+00 2.653921626574530457e+00
1.248699999999999921e+00 2.656576744609497887e+00
1.262299999999999978e+00 2.659266816248417875e+00
1.275900000000000034e+00 2.662048083712989399e+00
1.289400000000000102e+00 2.664863974014433090e+00
1.302999999999999936e+00 2.667770604830931980e+00
1.316599999999999993e+00 2.670748958625650538e+00
1.330100000000000060e+00 2.673780095669799017e+00
1.343699999999999894e+00 2.676901193544505730e+00
1.357299999999999951e+00 2.680111937960800716e+00
1.370900000000000007e+00 2.683412007128238130e+00
